geoid,Census Tract,Median Income
14000US06037190902,"Census Tract 1909.02, Los Angeles, CA",46406
14000US06037191000,"Census Tract 1910, Los Angeles, CA",64816
14000US06037191110,"Census Tract 1911.10, Los Angeles, CA",37700
14000US06037191120,"Census Tract 1911.20, Los Angeles, CA",40071
14000US06037191201,"Census Tract 1912.01, Los Angeles, CA",45332
14000US06037191203,"Census Tract 1912.03, Los Angeles, CA",26919
14000US06037191204,"Census Tract 1912.04, Los Angeles, CA",41453
14000US06037191301,"Census Tract 1913.01, Los Angeles, CA",36875
14000US06037191302,"Census Tract 1913.02, Los Angeles, CA",45982
14000US06037191410,"Census Tract 1914.10, Los Angeles, CA",42538
14000US06037191420,"Census Tract 1914.20, Los Angeles, CA",61190
14000US06037191500,"Census Tract 1915, Los Angeles, CA",49726
14000US06037191610,"Census Tract 1916.10, Los Angeles, CA",48767
14000US06037191620,"Census Tract 1916.20, Los Angeles, CA",27306
14000US06037191710,"Census Tract 1917.10, Los Angeles, CA",30085
14000US06037191720,"Census Tract 1917.20, Los Angeles, CA",32355
14000US06037191810,"Census Tract 1918.10, Los Angeles, CA",49491
14000US06037191820,"Census Tract 1918.20, Los Angeles, CA",56996
14000US06037191901,"Census Tract 1919.01, Los Angeles, CA",57000
14000US06037191902,"Census Tract 1919.02, Los Angeles, CA",94432
14000US06037192001,"Census Tract 1920.01, Los Angeles, CA",74063
14000US06037192002,"Census Tract 1920.02, Los Angeles, CA",111111
14000US06037192300,"Census Tract 1923, Los Angeles, CA",88988
14000US06037192410,"Census Tract 1924.10, Los Angeles, CA",73750
14000US06037192420,"Census Tract 1924.20, Los Angeles, CA",56194
14000US06037192510,"Census Tract 1925.10, Los Angeles, CA",49464
14000US06037192520,"Census Tract 1925.20, Los Angeles, CA",45823
14000US06037192610,"Census Tract 1926.10, Los Angeles, CA",35948
14000US06037192620,"Census Tract 1926.20, Los Angeles, CA",40850
14000US06037192700,"Census Tract 1927, Los Angeles, CA",52603
14000US06037194101,"Census Tract 1941.01, Los Angeles, CA",86417
14000US06037194102,"Census Tract 1941.02, Los Angeles, CA",122829
14000US06037194200,"Census Tract 1942, Los Angeles, CA",168227
14000US06037194300,"Census Tract 1943, Los Angeles, CA",177383
14000US06037194401,"Census Tract 1944.01, Los Angeles, CA",86800
14000US06037194402,"Census Tract 1944.02, Los Angeles, CA",100368
14000US06037194500,"Census Tract 1945, Los Angeles, CA",113571
14000US06037195100,"Census Tract 1951, Los Angeles, CA",127768
14000US06037195201,"Census Tract 1952.01, Los Angeles, CA",85114
14000US06037195202,"Census Tract 1952.02, Los Angeles, CA",117630
14000US06037195300,"Census Tract 1953, Los Angeles, CA",75104
14000US06037195400,"Census Tract 1954, Los Angeles, CA",98461
14000US06037195500,"Census Tract 1955, Los Angeles, CA",99660
14000US06037195600,"Census Tract 1956, Los Angeles, CA",72035
14000US06037195710,"Census Tract 1957.10, Los Angeles, CA",45398
14000US06037195720,"Census Tract 1957.20, Los Angeles, CA",41136
14000US06037195802,"Census Tract 1958.02, Los Angeles, CA",53889
14000US06037195803,"Census Tract 1958.03, Los Angeles, CA",83167
14000US06037195804,"Census Tract 1958.04, Los Angeles, CA",71467
14000US06037195901,"Census Tract 1959.01, Los Angeles, CA",64138
14000US06037195902,"Census Tract 1959.02, Los Angeles, CA",68875
14000US06037195903,"Census Tract 1959.03, Los Angeles, CA",52446
14000US06037197200,"Census Tract 1972, Los Angeles, CA",59719
14000US06037197300,"Census Tract 1973, Los Angeles, CA",83843
14000US06037197410,"Census Tract 1974.10, Los Angeles, CA",100556
14000US06037197420,"Census Tract 1974.20, Los Angeles, CA",65438
14000US06037197500,"Census Tract 1975, Los Angeles, CA",75571
14000US06037197600,"Census Tract 1976, Los Angeles, CA",74038
14000US06037197700,"Census Tract 1977, Los Angeles, CA",54759
14000US06037199000,"Census Tract 1990, Los Angeles, CA",57625
14000US06037199110,"Census Tract 1991.10, Los Angeles, CA",59395
14000US06037199120,"Census Tract 1991.20, Los Angeles, CA",38970
14000US06037199201,"Census Tract 1992.01, Los Angeles, CA",34277
14000US06037199202,"Census Tract 1992.02, Los Angeles, CA",67257
14000US06037199300,"Census Tract 1993, Los Angeles, CA",81172
14000US06037199400,"Census Tract 1994, Los Angeles, CA",44637
14000US06037199700,"Census Tract 1997, Los Angeles, CA",42614
14000US06037199800,"Census Tract 1998, Los Angeles, CA",37755
14000US06037199900,"Census Tract 1999, Los Angeles, CA",39184
14000US06037201110,"Census Tract 2011.10, Los Angeles, CA",67059
14000US06037201120,"Census Tract 2011.20, Los Angeles, CA",68667
14000US06037201200,"Census Tract 2012, Los Angeles, CA",46976
14000US06037201301,"Census Tract 2013.01, Los Angeles, CA",59955
14000US06037201302,"Census Tract 2013.02, Los Angeles, CA",91250
14000US06037201401,"Census Tract 2014.01, Los Angeles, CA",51212
14000US06037201402,"Census Tract 2014.02, Los Angeles, CA",55352
14000US06037201501,"Census Tract 2015.01, Los Angeles, CA",60088
14000US06037201503,"Census Tract 2015.03, Los Angeles, CA",51433
14000US06037201504,"Census Tract 2015.04, Los Angeles, CA",53750
14000US06037201601,"Census Tract 2016.01, Los Angeles, CA",55795
14000US06037201602,"Census Tract 2016.02, Los Angeles, CA",55909
14000US06037201700,"Census Tract 2017, Los Angeles, CA",64769
14000US06037203100,"Census Tract 2031, Los Angeles, CA",33179
14000US06037203200,"Census Tract 2032, Los Angeles, CA",56161
14000US06037203300,"Census Tract 2033, Los Angeles, CA",39750
14000US06037203500,"Census Tract 2035, Los Angeles, CA",41444
14000US06037203600,"Census Tract 2036, Los Angeles, CA",49922
14000US06037203710,"Census Tract 2037.10, Los Angeles, CA",46840
14000US06037203720,"Census Tract 2037.20, Los Angeles, CA",37917
14000US06037203800,"Census Tract 2038, Los Angeles, CA",45108
14000US06037203900,"Census Tract 2039, Los Angeles, CA",57054
14000US06037204110,"Census Tract 2041.10, Los Angeles, CA",57417
14000US06037204120,"Census Tract 2041.20, Los Angeles, CA",52813
14000US06037204200,"Census Tract 2042, Los Angeles, CA",32946
14000US06037204300,"Census Tract 2043, Los Angeles, CA",41912
14000US06037204410,"Census Tract 2044.10, Los Angeles, CA",47232
14000US06037204420,"Census Tract 2044.20, Los Angeles, CA",29730
14000US06037204600,"Census Tract 2046, Los Angeles, CA",31786
14000US06037204700,"Census Tract 2047, Los Angeles, CA",54809
14000US06037204810,"Census Tract 2048.10, Los Angeles, CA",46440
14000US06037204820,"Census Tract 2048.20, Los Angeles, CA",40000
14000US06037204910,"Census Tract 2049.10, Los Angeles, CA",38523
14000US06037204920,"Census Tract 2049.20, Los Angeles, CA",39904
14000US06037205110,"Census Tract 2051.10, Los Angeles, CA",47219
14000US06037205120,"Census Tract 2051.20, Los Angeles, CA",26844
14000US06037206010,"Census Tract 2060.10, Los Angeles, CA",42063
14000US06037206020,"Census Tract 2060.20, Los Angeles, CA",100809
14000US06037206031,"Census Tract 2060.31, Los Angeles, CA",99205
14000US06037206032,"Census Tract 2060.32, Los Angeles, CA",30625
14000US06037206050,"Census Tract 2060.50, Los Angeles, CA",23380
14000US06037206200,"Census Tract 2062, Los Angeles, CA",23515
14000US06037206300,"Census Tract 2063, Los Angeles, CA",9191
14000US06037207101,"Census Tract 2071.01, Los Angeles, CA",39063
14000US06037207102,"Census Tract 2071.02, Los Angeles, CA",30165
14000US06037207103,"Census Tract 2071.03, Los Angeles, CA",29243
14000US06037207301,"Census Tract 2073.01, Los Angeles, CA",51667
14000US06037207302,"Census Tract 2073.02, Los Angeles, CA",39972
14000US06037207400,"Census Tract 2074, Los Angeles, CA",87000
14000US06037207501,"Census Tract 2075.01, Los Angeles, CA",60625
14000US06037207502,"Census Tract 2075.02, Los Angeles, CA",18594
14000US06037207710,"Census Tract 2077.10, Los Angeles, CA",100972
14000US06037207900,"Census Tract 2079, Los Angeles, CA",92104
14000US06037208000,"Census Tract 2080, Los Angeles, CA",37330
14000US06037208301,"Census Tract 2083.01, Los Angeles, CA",50093
14000US06037208302,"Census Tract 2083.02, Los Angeles, CA",38365
14000US06037208401,"Census Tract 2084.01, Los Angeles, CA",31218
14000US06037208402,"Census Tract 2084.02, Los Angeles, CA",45804
14000US06037208501,"Census Tract 2085.01, Los Angeles, CA",56974
14000US06037208502,"Census Tract 2085.02, Los Angeles, CA",41804
14000US06037208610,"Census Tract 2086.10, Los Angeles, CA",52537
14000US06037208620,"Census Tract 2086.20, Los Angeles, CA",48910
14000US06037208710,"Census Tract 2087.10, Los Angeles, CA",69656
14000US06037208720,"Census Tract 2087.20, Los Angeles, CA",32727
14000US06037208801,"Census Tract 2088.01, Los Angeles, CA",33211
14000US06037208802,"Census Tract 2088.02, Los Angeles, CA",34079
14000US06037208902,"Census Tract 2089.02, Los Angeles, CA",34568
14000US06037208903,"Census Tract 2089.03, Los Angeles, CA",31731
14000US06037208904,"Census Tract 2089.04, Los Angeles, CA",27250
14000US06037209102,"Census Tract 2091.02, Los Angeles, CA",29190
14000US06037209103,"Census Tract 2091.03, Los Angeles, CA",29509
14000US06037209104,"Census Tract 2091.04, Los Angeles, CA",30078
14000US06037209200,"Census Tract 2092, Los Angeles, CA",54894
14000US06037209300,"Census Tract 2093, Los Angeles, CA",30092
14000US06037209401,"Census Tract 2094.01, Los Angeles, CA",30926
14000US06037209402,"Census Tract 2094.02, Los Angeles, CA",32879
14000US06037209403,"Census Tract 2094.03, Los Angeles, CA",27188
14000US06037209510,"Census Tract 2095.10, Los Angeles, CA",30722
14000US06037209520,"Census Tract 2095.20, Los Angeles, CA",33168
14000US06037209810,"Census Tract 2098.10, Los Angeles, CA",30373
14000US06037209820,"Census Tract 2098.20, Los Angeles, CA",31289
14000US06037210010,"Census Tract 2100.10, Los Angeles, CA",31712
14000US06037211000,"Census Tract 2110, Los Angeles, CA",127197
14000US06037211120,"Census Tract 2111.20, Los Angeles, CA",52342
14000US06037211121,"Census Tract 2111.21, Los Angeles, CA",48846
14000US06037211122,"Census Tract 2111.22, Los Angeles, CA",50175
14000US06037211201,"Census Tract 2112.01, Los Angeles, CA",44353
14000US06037211202,"Census Tract 2112.02, Los Angeles, CA",41280
14000US06037211310,"Census Tract 2113.10, Los Angeles, CA",42637
14000US06037211320,"Census Tract 2113.20, Los Angeles, CA",31250
14000US06037211410,"Census Tract 2114.10, Los Angeles, CA",43011
14000US06037211420,"Census Tract 2114.20, Los Angeles, CA",44330
14000US06037211500,"Census Tract 2115, Los Angeles, CA",66042
14000US06037211701,"Census Tract 2117.01, Los Angeles, CA",75469
14000US06037211703,"Census Tract 2117.03, Los Angeles, CA",52352
14000US06037211704,"Census Tract 2117.04, Los Angeles, CA",43462
14000US06037211802,"Census Tract 2118.02, Los Angeles, CA",43720
14000US06037211803,"Census Tract 2118.03, Los Angeles, CA",53301
14000US06037211804,"Census Tract 2118.04, Los Angeles, CA",41635
14000US06037211910,"Census Tract 2119.10, Los Angeles, CA",46941
14000US06037211921,"Census Tract 2119.21, Los Angeles, CA",35993
14000US06037211922,"Census Tract 2119.22, Los Angeles, CA",49554
14000US06037212101,"Census Tract 2121.01, Los Angeles, CA",51370
14000US06037212102,"Census Tract 2121.02, Los Angeles, CA",27167
14000US06037212202,"Census Tract 2122.02, Los Angeles, CA",39229
14000US06037212203,"Census Tract 2122.03, Los Angeles, CA",27092
14000US06037212204,"Census Tract 2122.04, Los Angeles, CA",34196
14000US06037212303,"Census Tract 2123.03, Los Angeles, CA",41797
14000US06037212304,"Census Tract 2123.04, Los Angeles, CA",30265
14000US06037212305,"Census Tract 2123.05, Los Angeles, CA",37550
14000US06037212306,"Census Tract 2123.06, Los Angeles, CA",40590
14000US06037212410,"Census Tract 2124.10, Los Angeles, CA",46424
14000US06037212420,"Census Tract 2124.20, Los Angeles, CA",40809
14000US06037212501,"Census Tract 2125.01, Los Angeles, CA",39093
14000US06037212502,"Census Tract 2125.02, Los Angeles, CA",47731
14000US06037212610,"Census Tract 2126.10, Los Angeles, CA",43608
14000US06037212620,"Census Tract 2126.20, Los Angeles, CA",43212
14000US06037212701,"Census Tract 2127.01, Los Angeles, CA",47000
14000US06037212702,"Census Tract 2127.02, Los Angeles, CA",73028
14000US06037212800,"Census Tract 2128, Los Angeles, CA",49867
14000US06037212900,"Census Tract 2129, Los Angeles, CA",43167
14000US06037213100,"Census Tract 2131, Los Angeles, CA",44167
14000US06037213201,"Census Tract 2132.01, Los Angeles, CA",32819
14000US06037213202,"Census Tract 2132.02, Los Angeles, CA",38899
14000US06037213310,"Census Tract 2133.10, Los Angeles, CA",48333
14000US06037213320,"Census Tract 2133.20, Los Angeles, CA",26759
14000US06037213401,"Census Tract 2134.01, Los Angeles, CA",33607
14000US06037213402,"Census Tract 2134.02, Los Angeles, CA",42766
14000US06037214000,"Census Tract 2140, Los Angeles, CA",120625
14000US06037214100,"Census Tract 2141, Los Angeles, CA",100824
14000US06037214400,"Census Tract 2144, Los Angeles, CA",77708
14000US06037214501,"Census Tract 2145.01, Los Angeles, CA",87364
14000US06037214502,"Census Tract 2145.02, Los Angeles, CA",60093
14000US06037214503,"Census Tract 2145.03, Los Angeles, CA",75294
14000US06037214600,"Census Tract 2146, Los Angeles, CA",102868
14000US06037214700,"Census Tract 2147, Los Angeles, CA",96579
14000US06037214800,"Census Tract 2148, Los Angeles, CA",108648
14000US06037214901,"Census Tract 2149.01, Los Angeles, CA",71844
14000US06037214902,"Census Tract 2149.02, Los Angeles, CA",84840
14000US06037215101,"Census Tract 2151.01, Los Angeles, CA",67888
14000US06037215102,"Census Tract 2151.02, Los Angeles, CA",69979
14000US06037216100,"Census Tract 2161, Los Angeles, CA",104604
14000US06037216200,"Census Tract 2162, Los Angeles, CA",88854
14000US06037216300,"Census Tract 2163, Los Angeles, CA",94620
14000US06037216401,"Census Tract 2164.01, Los Angeles, CA",75597
14000US06037216402,"Census Tract 2164.02, Los Angeles, CA",75000
14000US06037216700,"Census Tract 2167, Los Angeles, CA",79730
14000US06037216800,"Census Tract 2168, Los Angeles, CA",91821
14000US06037216900,"Census Tract 2169, Los Angeles, CA",89547
14000US06037217001,"Census Tract 2170.01, Los Angeles, CA",87250
14000US06037217002,"Census Tract 2170.02, Los Angeles, CA",87934
14000US06037217100,"Census Tract 2171, Los Angeles, CA",67414
14000US06037217200,"Census Tract 2172, Los Angeles, CA",69817
14000US06037218110,"Census Tract 2181.10, Los Angeles, CA",44009
14000US06037218120,"Census Tract 2181.20, Los Angeles, CA",36488
14000US06037218210,"Census Tract 2182.10, Los Angeles, CA",35436
14000US06037218220,"Census Tract 2182.20, Los Angeles, CA",49632
14000US06037218300,"Census Tract 2183, Los Angeles, CA",53621
14000US06037218400,"Census Tract 2184, Los Angeles, CA",64018
14000US06037218500,"Census Tract 2185, Los Angeles, CA",44872
14000US06037218600,"Census Tract 2186, Los Angeles, CA",51604
14000US06037218701,"Census Tract 2187.01, Los Angeles, CA",49316
14000US06037218702,"Census Tract 2187.02, Los Angeles, CA",38827
14000US06037218800,"Census Tract 2188, Los Angeles, CA",46140
14000US06037218900,"Census Tract 2189, Los Angeles, CA",41019
14000US06037219010,"Census Tract 2190.10, Los Angeles, CA",54708
14000US06037219020,"Census Tract 2190.20, Los Angeles, CA",59180
14000US06037219300,"Census Tract 2193, Los Angeles, CA",43103
14000US06037219500,"Census Tract 2195, Los Angeles, CA",77147
14000US06037219700,"Census Tract 2197, Los Angeles, CA",50220
14000US06037219800,"Census Tract 2198, Los Angeles, CA",43214
14000US06037219901,"Census Tract 2199.01, Los Angeles, CA",39006
14000US06037219902,"Census Tract 2199.02, Los Angeles, CA",49531
14000US06037220000,"Census Tract 2200, Los Angeles, CA",42500
14000US06037220100,"Census Tract 2201, Los Angeles, CA",40091
14000US06037221110,"Census Tract 2211.10, Los Angeles, CA",34868
14000US06037221120,"Census Tract 2211.20, Los Angeles, CA",38060
14000US06037221210,"Census Tract 2212.10, Los Angeles, CA",50035
14000US06037221220,"Census Tract 2212.20, Los Angeles, CA",43611
14000US06037221302,"Census Tract 2213.02, Los Angeles, CA",37500
14000US06037221303,"Census Tract 2213.03, Los Angeles, CA",39244
14000US06037221304,"Census Tract 2213.04, Los Angeles, CA",43125
14000US06037221401,"Census Tract 2214.01, Los Angeles, CA",24904
14000US06037221402,"Census Tract 2214.02, Los Angeles, CA",37976
14000US06037221500,"Census Tract 2215, Los Angeles, CA",29420
14000US06037221601,"Census Tract 2216.01, Los Angeles, CA",45288
14000US06037221602,"Census Tract 2216.02, Los Angeles, CA",36008
14000US06037221710,"Census Tract 2217.10, Los Angeles, CA",39212
14000US06037221810,"Census Tract 2218.10, Los Angeles, CA",25357
14000US06037221820,"Census Tract 2218.20, Los Angeles, CA",12235
14000US06037221900,"Census Tract 2219, Los Angeles, CA",17237
14000US06037222001,"Census Tract 2220.01, Los Angeles, CA",71000
14000US06037222002,"Census Tract 2220.02, Los Angeles, CA",48641
14000US06037222100,"Census Tract 2221, Los Angeles, CA",53864
14000US06037222200,"Census Tract 2222, Los Angeles, CA",40227
14000US06037222500,"Census Tract 2225, Los Angeles, CA",56548
14000US06037222600,"Census Tract 2226, Los Angeles, CA",28581
14000US06037222700,"Census Tract 2227, Los Angeles, CA",9632
14000US06037224010,"Census Tract 2240.10, Los Angeles, CA",28082
14000US06037224020,"Census Tract 2240.20, Los Angeles, CA",27332
14000US06037224200,"Census Tract 2242, Los Angeles, CA",31996
14000US06037224310,"Census Tract 2243.10, Los Angeles, CA",36932
14000US06037224320,"Census Tract 2243.20, Los Angeles, CA",28616
14000US06037224410,"Census Tract 2244.10, Los Angeles, CA",26773
14000US06037224420,"Census Tract 2244.20, Los Angeles, CA",24878
14000US06037224600,"Census Tract 2246, Los Angeles, CA",46162
14000US06037224700,"Census Tract 2247, Los Angeles, CA",11576
14000US06037226001,"Census Tract 2260.01, Los Angeles, CA",34808
14000US06037226002,"Census Tract 2260.02, Los Angeles, CA",37643
14000US06037226410,"Census Tract 2264.10, Los Angeles, CA",40147
14000US06037226420,"Census Tract 2264.20, Los Angeles, CA",44209
14000US06037226700,"Census Tract 2267, Los Angeles, CA",40140
14000US06037227010,"Census Tract 2270.10, Los Angeles, CA",48200
14000US06037227020,"Census Tract 2270.20, Los Angeles, CA",47361
14000US06037228100,"Census Tract 2281, Los Angeles, CA",47444
14000US06037228210,"Census Tract 2282.10, Los Angeles, CA",35969
14000US06037228220,"Census Tract 2282.20, Los Angeles, CA",43482
14000US06037228310,"Census Tract 2283.10, Los Angeles, CA",44375
14000US06037228320,"Census Tract 2283.20, Los Angeles, CA",43272
14000US06037228410,"Census Tract 2284.10, Los Angeles, CA",41012
14000US06037228420,"Census Tract 2284.20, Los Angeles, CA",38094
14000US06037228500,"Census Tract 2285, Los Angeles, CA",33125
14000US06037228600,"Census Tract 2286, Los Angeles, CA",48393
14000US06037228710,"Census Tract 2287.10, Los Angeles, CA",31849
14000US06037228720,"Census Tract 2287.20, Los Angeles, CA",38933
14000US06037228800,"Census Tract 2288, Los Angeles, CA",41250
14000US06037228900,"Census Tract 2289, Los Angeles, CA",23750
14000US06037229100,"Census Tract 2291, Los Angeles, CA",46678
14000US06037229200,"Census Tract 2292, Los Angeles, CA",41250
14000US06037229300,"Census Tract 2293, Los Angeles, CA",37468
14000US06037229410,"Census Tract 2294.10, Los Angeles, CA",34403
14000US06037229420,"Census Tract 2294.20, Los Angeles, CA",42250
14000US06037231100,"Census Tract 2311, Los Angeles, CA",31494
14000US06037231210,"Census Tract 2312.10, Los Angeles, CA",32258
14000US06037231220,"Census Tract 2312.20, Los Angeles, CA",29741
14000US06037231300,"Census Tract 2313, Los Angeles, CA",49803
14000US06037231400,"Census Tract 2314, Los Angeles, CA",41774
14000US06037231500,"Census Tract 2315, Los Angeles, CA",48912
14000US06037231600,"Census Tract 2316, Los Angeles, CA",45123
14000US06037231710,"Census Tract 2317.10, Los Angeles, CA",26444
14000US06037231720,"Census Tract 2317.20, Los Angeles, CA",36528
14000US06037231800,"Census Tract 2318, Los Angeles, CA",36765
14000US06037231900,"Census Tract 2319, Los Angeles, CA",33958
14000US06037232110,"Census Tract 2321.10, Los Angeles, CA",33203
14000US06037232120,"Census Tract 2321.20, Los Angeles, CA",37555
14000US06037232200,"Census Tract 2322, Los Angeles, CA",43911
14000US06037232300,"Census Tract 2323, Los Angeles, CA",58576
14000US06037232400,"Census Tract 2324, Los Angeles, CA",46883
14000US06037232500,"Census Tract 2325, Los Angeles, CA",55841
14000US06037232600,"Census Tract 2326, Los Angeles, CA",42734
14000US06037232700,"Census Tract 2327, Los Angeles, CA",38341
14000US06037232800,"Census Tract 2328, Los Angeles, CA",33438
14000US06037234000,"Census Tract 2340, Los Angeles, CA",54722
14000US06037234200,"Census Tract 2342, Los Angeles, CA",76761
14000US06037234300,"Census Tract 2343, Los Angeles, CA",45815
14000US06037234501,"Census Tract 2345.01, Los Angeles, CA",54622
14000US06037234502,"Census Tract 2345.02, Los Angeles, CA",33500
14000US06037234600,"Census Tract 2346, Los Angeles, CA",55887
14000US06037234700,"Census Tract 2347, Los Angeles, CA",40375
14000US06037234800,"Census Tract 2348, Los Angeles, CA",58736
14000US06037234901,"Census Tract 2349.01, Los Angeles, CA",22693
14000US06037234902,"Census Tract 2349.02, Los Angeles, CA",23981
14000US06037235100,"Census Tract 2351, Los Angeles, CA",87246
14000US06037235201,"Census Tract 2352.01, Los Angeles, CA",45341
14000US06037235202,"Census Tract 2352.02, Los Angeles, CA",31732
14000US06037236000,"Census Tract 2360, Los Angeles, CA",90790
14000US06037236100,"Census Tract 2361, Los Angeles, CA",30380
14000US06037236202,"Census Tract 2362.02, Los Angeles, CA",29766
14000US06037236203,"Census Tract 2362.03, Los Angeles, CA",30144
14000US06037236204,"Census Tract 2362.04, Los Angeles, CA",23677
14000US06037236400,"Census Tract 2364, Los Angeles, CA",66359
14000US06037237101,"Census Tract 2371.01, Los Angeles, CA",33569
14000US06037237102,"Census Tract 2371.02, Los Angeles, CA",37849
14000US06037237201,"Census Tract 2372.01, Los Angeles, CA",44911
14000US06037237202,"Census Tract 2372.02, Los Angeles, CA",38438
14000US06037237300,"Census Tract 2373, Los Angeles, CA",45107
14000US06037237401,"Census Tract 2374.01, Los Angeles, CA",41703
14000US06037237402,"Census Tract 2374.02, Los Angeles, CA",45875
14000US06037237500,"Census Tract 2375, Los Angeles, CA",32051
14000US06037237600,"Census Tract 2376, Los Angeles, CA",32456
14000US06037237710,"Census Tract 2377.10, Los Angeles, CA",36029
14000US06037237720,"Census Tract 2377.20, Los Angeles, CA",33897
14000US06037237800,"Census Tract 2378, Los Angeles, CA",48922
14000US06037237900,"Census Tract 2379, Los Angeles, CA",51612
14000US06037238000,"Census Tract 2380, Los Angeles, CA",61773
14000US06037238100,"Census Tract 2381, Los Angeles, CA",48034
14000US06037238200,"Census Tract 2382, Los Angeles, CA",45075
14000US06037238310,"Census Tract 2383.10, Los Angeles, CA",26356
14000US06037238320,"Census Tract 2383.20, Los Angeles, CA",34131
14000US06037238400,"Census Tract 2384, Los Angeles, CA",54746
14000US06037239201,"Census Tract 2392.01, Los Angeles, CA",36034
14000US06037239202,"Census Tract 2392.02, Los Angeles, CA",42609
14000US06037239310,"Census Tract 2393.10, Los Angeles, CA",37259
14000US06037239320,"Census Tract 2393.20, Los Angeles, CA",44896
14000US06037239330,"Census Tract 2393.30, Los Angeles, CA",32708
14000US06037239501,"Census Tract 2395.01, Los Angeles, CA",44177
14000US06037239502,"Census Tract 2395.02, Los Angeles, CA",41250
14000US06037239601,"Census Tract 2396.01, Los Angeles, CA",43102
14000US06037239602,"Census Tract 2396.02, Los Angeles, CA",38295
14000US06037239701,"Census Tract 2397.01, Los Angeles, CA",36232
14000US06037239702,"Census Tract 2397.02, Los Angeles, CA",31189
14000US06037239801,"Census Tract 2398.01, Los Angeles, CA",46938
14000US06037239802,"Census Tract 2398.02, Los Angeles, CA",42171
14000US06037240010,"Census Tract 2400.10, Los Angeles, CA",30612
14000US06037240020,"Census Tract 2400.20, Los Angeles, CA",38266
14000US06037240200,"Census Tract 2402, Los Angeles, CA",40286
14000US06037240300,"Census Tract 2403, Los Angeles, CA",22875
14000US06037240401,"Census Tract 2404.01, Los Angeles, CA",42662
14000US06037240402,"Census Tract 2404.02, Los Angeles, CA",42422
14000US06037240500,"Census Tract 2405, Los Angeles, CA",40764
14000US06037240600,"Census Tract 2406, Los Angeles, CA",43250
14000US06037240700,"Census Tract 2407, Los Angeles, CA",43584
14000US06037240800,"Census Tract 2408, Los Angeles, CA",41277
14000US06037240900,"Census Tract 2409, Los Angeles, CA",45619
14000US06037241001,"Census Tract 2410.01, Los Angeles, CA",41563
14000US06037241002,"Census Tract 2410.02, Los Angeles, CA",59116
14000US06037241110,"Census Tract 2411.10, Los Angeles, CA",47090
14000US06037241120,"Census Tract 2411.20, Los Angeles, CA",35114
14000US06037241201,"Census Tract 2412.01, Los Angeles, CA",48864
14000US06037241202,"Census Tract 2412.02, Los Angeles, CA",34662
14000US06037241300,"Census Tract 2413, Los Angeles, CA",46111
14000US06037241400,"Census Tract 2414, Los Angeles, CA",36667
14000US06037242000,"Census Tract 2420, Los Angeles, CA",30698
14000US06037242100,"Census Tract 2421, Los Angeles, CA",18177
14000US06037242200,"Census Tract 2422, Los Angeles, CA",28313
14000US06037242300,"Census Tract 2423, Los Angeles, CA",26515
14000US06037242600,"Census Tract 2426, Los Angeles, CA",16586
14000US06037242700,"Census Tract 2427, Los Angeles, CA",46492
14000US06037243000,"Census Tract 2430, Los Angeles, CA",51479
14000US06037243100,"Census Tract 2431, Los Angeles, CA",27879
14000US06037261101,"Census Tract 2611.01, Los Angeles, CA",199094
14000US06037261102,"Census Tract 2611.02, Los Angeles, CA",159563
14000US06037261200,"Census Tract 2612, Los Angeles, CA",188424
14000US06037262100,"Census Tract 2621, Los Angeles, CA",217462
14000US06037262200,"Census Tract 2622, Los Angeles, CA",184000
14000US06037262301,"Census Tract 2623.01, Los Angeles, CA",215750
14000US06037262302,"Census Tract 2623.02, Los Angeles, CA",158571
14000US06037262303,"Census Tract 2623.03, Los Angeles, CA",250001
14000US06037262400,"Census Tract 2624, Los Angeles, CA",250001
14000US06037262501,"Census Tract 2625.01, Los Angeles, CA",224962
14000US06037262601,"Census Tract 2626.01, Los Angeles, CA",212386
14000US06037262604,"Census Tract 2626.04, Los Angeles, CA",200625
14000US06037262704,"Census Tract 2627.04, Los Angeles, CA",122083
14000US06037262706,"Census Tract 2627.06, Los Angeles, CA",188409
14000US06037262802,"Census Tract 2628.02, Los Angeles, CA",217292
14000US06037264000,"Census Tract 2640, Los Angeles, CA",220417
14000US06037264102,"Census Tract 2641.02, Los Angeles, CA",108004
14000US06037264103,"Census Tract 2641.03, Los Angeles, CA",105481
14000US06037264301,"Census Tract 2643.01, Los Angeles, CA",101439
14000US06037264302,"Census Tract 2643.02, Los Angeles, CA",92381
14000US06037265100,"Census Tract 2651, Los Angeles, CA",112500
14000US06037265201,"Census Tract 2652.01, Los Angeles, CA",72361
14000US06037265202,"Census Tract 2652.02, Los Angeles, CA",74417
14000US06037265301,"Census Tract 2653.01, Los Angeles, CA",
14000US06037265303,"Census Tract 2653.03, Los Angeles, CA",21506
14000US06037265304,"Census Tract 2653.04, Los Angeles, CA",21228
14000US06037265305,"Census Tract 2653.05, Los Angeles, CA",20655
14000US06037265410,"Census Tract 2654.10, Los Angeles, CA",117885
14000US06037265420,"Census Tract 2654.20, Los Angeles, CA",198542
14000US06037265510,"Census Tract 2655.10, Los Angeles, CA",54847
14000US06037265520,"Census Tract 2655.20, Los Angeles, CA",104559
14000US06037265601,"Census Tract 2656.01, Los Angeles, CA",119886
14000US06037265602,"Census Tract 2656.02, Los Angeles, CA",117629
